Date,Close_Price,Ticker,Volatility_30d
2025-01-27,60.87,PKO.WA,1.6
2025-01-28,61.97,PKO.WA,1.83
2025-01-29,61.73,PKO.WA,2.01
2025-01-30,62.98,PKO.WA,2.26
2025-01-31,62.4,PKO.WA,2.43
2025-02-03,61.32,PKO.WA,2.51
2025-02-04,60.83,PKO.WA,2.56
2025-02-05,59.51,PKO.WA,2.53
2025-02-06,61.75,PKO.WA,2.58
2025-02-07,62.92,PKO.WA,2.69
2025-02-10,62.83,PKO.WA,2.74
2025-02-11,63.91,PKO.WA,2.84
2025-02-12,65.48,PKO.WA,3.0
2025-02-13,66.69,PKO.WA,3.2
2025-02-14,65.52,PKO.WA,3.26
2025-02-17,65.48,PKO.WA,3.32
2025-02-18,68.2,PKO.WA,3.53
2025-02-19,67.32,PKO.WA,3.62
2025-02-20,66.63,PKO.WA,3.65
2025-02-21,66.15,PKO.WA,3.63
2025-02-24,63.93,PKO.WA,3.48
2025-02-25,64.29,PKO.WA,3.3
2025-02-26,65.48,PKO.WA,3.18
2025-02-27,65.18,PKO.WA,2.98
2025-02-28,64.43,PKO.WA,2.75
2025-03-03,65.2,PKO.WA,2.54
2025-03-04,61.51,PKO.WA,2.35
2025-03-05,65.27,PKO.WA,2.31
2025-03-06,67.14,PKO.WA,2.31
2025-03-07,68.07,PKO.WA,2.35
2025-03-10,66.02,PKO.WA,2.29
2025-03-11,65.57,PKO.WA,2.26
2025-03-12,66.8,PKO.WA,2.24
2025-03-13,69.02,PKO.WA,2.35
2025-03-14,72.85,PKO.WA,2.72
2025-03-17,73.78,PKO.WA,3.05
2025-03-18,74.64,PKO.WA,3.33
2025-03-19,73.95,PKO.WA,3.4
2025-03-20,73.01,PKO.WA,3.47
2025-03-21,70.98,PKO.WA,3.46
2025-03-24,71.6,PKO.WA,3.45
2025-03-25,73.39,PKO.WA,3.55
2025-03-26,73.2,PKO.WA,3.65
2025-03-27,72.64,PKO.WA,3.74
2025-03-28,71.52,PKO.WA,3.75
2025-03-31,70.12,PKO.WA,3.72
2025-04-01,70.61,PKO.WA,3.73
2025-04-02,70.48,PKO.WA,3.74
2025-04-03,67.06,PKO.WA,3.73
2025-04-04,59.72,PKO.WA,4.06
2025-04-07,60.54,PKO.WA,4.24
2025-04-08,62.92,PKO.WA,4.29
2025-04-09,60.18,PKO.WA,4.52
2025-04-10,63.91,PKO.WA,4.55
2025-04-11,62.07,PKO.WA,4.64
2025-04-14,63.95,PKO.WA,4.67
2025-04-15,65.39,PKO.WA,4.54
2025-04-16,65.2,PKO.WA,4.54
2025-04-17,65.91,PKO.WA,4.55
2025-04-22,67.27,PKO.WA,4.56
2025-04-23,70.91,PKO.WA,4.57
2025-04-24,71.45,PKO.WA,4.57
2025-04-25,71.05,PKO.WA,4.58
2025-04-28,70.7,PKO.WA,4.6
2025-04-29,70.72,PKO.WA,4.55
2025-04-30,67.49,PKO.WA,4.45
2025-05-02,69.94,PKO.WA,4.3
2025-05-05,69.67,PKO.WA,4.17
2025-05-06,68.16,PKO.WA,4.07
2025-05-07,68.97,PKO.WA,4.03
2025-05-08,69.53,PKO.WA,3.99
2025-05-09,72.99,PKO.WA,3.97
2025-05-12,72.75,PKO.WA,3.95
2025-05-13,72.92,PKO.WA,3.96
2025-05-14,73.63,PKO.WA,4.05
2025-05-15,72.38,PKO.WA,4.11
2025-05-16,71.95,PKO.WA,4.15
2025-05-19,70.5,PKO.WA,4.15
2025-05-20,70.87,PKO.WA,4.18
2025-05-21,70.1,PKO.WA,3.88
2025-05-22,69.84,PKO.WA,3.58
2025-05-23,69.12,PKO.WA,3.4
2025-05-26,70.7,PKO.WA,2.98
2025-05-27,71.88,PKO.WA,2.83
2025-05-28,72.55,PKO.WA,2.5
2025-05-29,70.89,PKO.WA,2.23
2025-05-30,70.2,PKO.WA,2.04
2025-06-02,68.02,PKO.WA,1.85
2025-06-03,66.97,PKO.WA,1.77
2025-06-04,66.95,PKO.WA,1.79
2025-06-05,65.68,PKO.WA,1.99
2025-06-06,64.38,PKO.WA,2.25
2025-06-09,65.68,PKO.WA,2.38
2025-06-10,67.96,PKO.WA,2.4
2025-06-11,67.77,PKO.WA,2.42
2025-06-12,66.73,PKO.WA,2.44
2025-06-13,65.61,PKO.WA,2.55
2025-06-16,65.63,PKO.WA,2.65
2025-06-17,65.68,PKO.WA,2.72
2025-06-18,65.31,PKO.WA,2.82
2025-06-20,65.76,PKO.WA,2.89
2025-06-23,63.91,PKO.WA,2.93
2025-06-24,67.79,PKO.WA,2.84
2025-06-25,66.3,PKO.WA,2.75
